Model	estimate	parameter	sigma
BBout22F	naïve.se	sigma	0.004656494
BBout22F	ts.se	sigma	0.533551352
BBout22F	q2.5	sigma	120.7328032
BBout22F	q25	sigma	124.6905321
BBout22F	q50	sigma	127.2350833
BBout22F	q75	sigma	128.0048849
BBout22F	q97.5	sigma	131.5424486
BBout22F	gd.point	sigma	4.951816173
BBout22F	gd.upperCI	sigma	14.04990961
BBout23F	mean	sigma	143.7732762
BBout23F	sd	sigma	18.91997574
BBout23F	naïve.se	sigma	0.034542992
BBout23F	ts.se	sigma	2.117586358
BBout23F	q2.5	sigma	120.8140786
BBout23F	q25	sigma	127.8646563
BBout23F	q50	sigma	136.3820952
BBout23F	q75	sigma	162.3865228
BBout23F	q97.5	sigma	177.8057026
BBout23F	gd.point	sigma	4.086219926
BBout23F	gd.upperCI	sigma	9.024094042
CAout11F	mean	lam0	4.781852915
CAout11F	sd	lam0	3.380507731
CAout11F	naïve.se	lam0	0.006171934
CAout11F	ts.se	lam0	0.745043835
CAout11F	q2.5	lam0	0.212590293
CAout11F	q25	lam0	1.839707888
CAout11F	q50	lam0	4.468452527
CAout11F	q75	lam0	7.141451169
CAout11F	q97.5	lam0	12.06394698
CAout11F	gd.point	lam0	2.229418909
CAout11F	gd.upperCI	lam0	4.071313252
CAout13F	mean	lam0	36.90319666
CAout13F	sd	lam0	16.43617528
CAout13F	naïve.se	lam0	0.030008213
CAout13F	ts.se	lam0	3.606180427
CAout13F	q2.5	lam0	9.303141995
CAout13F	q25	lam0	22.62918772
CAout13F	q50	lam0	36.63765276
CAout13F	q75	lam0	51.27963968
CAout13F	q97.5	lam0	66.09609839
CAout13F	gd.point	lam0	2.855836085
CAout13F	gd.upperCI	lam0	5.999342034
CAout21F	mean	lam0	39.48176226
CAout21F	sd	lam0	26.09780182
CAout21F	naïve.se	lam0	0.047647849
CAout21F	ts.se	lam0	1.067908763
CAout21F	q2.5	lam0	0.800922084
CAout21F	q25	lam0	4.029863984
CAout21F	q50	lam0	55.05942738
CAout21F	q75	lam0	59.90325705
CAout21F	q97.5	lam0	64.95325538
CAout21F	gd.point	lam0	24.99336975
CAout21F	gd.upperCI	lam0	54.81714096
LYout11F	mean	lam0	28.67475849
LYout11F	sd	lam0	7.919824777
LYout11F	naïve.se	lam0	0.014459556
LYout11F	ts.se	lam0	1.408451336
LYout11F	q2.5	lam0	12.41388623
LYout11F	q25	lam0	22.95453841
LYout11F	q50	lam0	28.24180858
LYout11F	q75	lam0	34.70330312
LYout11F	q97.5	lam0	43.63466181
LYout11F	gd.point	lam0	3.946428386
LYout11F	gd.upperCI	lam0	7.499671579
LYout13F	mean	lam0	25.11108202
LYout13F	sd	lam0	18.1825002
LYout13F	naïve.se	lam0	0.033196552
LYout13F	ts.se	lam0	2.837622279
LYout13F	q2.5	lam0	0.216832205
LYout13F	q25	lam0	4.077624702
LYout13F	q50	lam0	28.04904129
LYout13F	q75	lam0	40.67233363
LYout13F	q97.5	lam0	56.50866771
LYout13F	gd.point	lam0	3.707983654
LYout13F	gd.upperCI	lam0	8.550303152
LYout21F	mean	lam0	26.01812139
LYout21F	sd	lam0	13.63357473
LYout21F	naïve.se	lam0	0.024891388
LYout21F	ts.se	lam0	2.962956648
LYout21F	q2.5	lam0	4.620606811
LYout21F	q25	lam0	15.95160885
LYout21F	q50	lam0	22.64762268
LYout21F	q75	lam0	36.3467774
LYout21F	q97.5	lam0	52.63442919
LYout21F	gd.point	lam0	3.226615088
LYout21F	gd.upperCI	lam0	7.512404059
MOout23F	mean	lam0	32.52630306
MOout23F	sd	lam0	27.28156788
MOout23F	naïve.se	lam0	0.0498091
MOout23F	ts.se	lam0	3.761111784
MOout23F	q2.5	lam0	1.009322282
MOout23F	q25	lam0	9.308811292
MOout23F	q50	lam0	22.77317249
MOout23F	q75	lam0	57.05847572
MOout23F	q97.5	lam0	87.18146211
MOout23F	gd.point	lam0	6.964554844
MOout23F	gd.upperCI	lam0	15.82817009
WOout11F	mean	lam0	25.87894471
WOout11F	sd	lam0	9.693441985
WOout11F	naïve.se	lam0	0.017697723
WOout11F	ts.se	lam0	2.13427407
WOout11F	q2.5	lam0	9.390036077
WOout11F	q25	lam0	18.99215642
WOout11F	q50	lam0	25.7798636
WOout11F	q75	lam0	32.03579459
WOout11F	q97.5	lam0	44.03594577
WOout11F	gd.point	lam0	5.880404318
WOout11F	gd.upperCI	lam0	11.62178148
WOout21F	mean	lam0	13.20927478
WOout21F	sd	lam0	14.27727102
WOout21F	naïve.se	lam0	0.026066611
WOout21F	ts.se	lam0	3.163805926
WOout21F	q2.5	lam0	0.304707633
WOout21F	q25	lam0	1.905648194
WOout21F	q50	lam0	5.671002993
WOout21F	q75	lam0	20.70523895
WOout21F	q97.5	lam0	41.54104566
WOout21F	gd.point	lam0	2.824627976
WOout21F	gd.upperCI	lam0	7.033911914
WOout23F	mean	lam0	15.69384452
WOout23F	sd	lam0	11.19887823
WOout23F	naïve.se	lam0	0.020446261
WOout23F	ts.se	lam0	1.680487687
WOout23F	q2.5	lam0	0.185357165
WOout23F	q25	lam0	6.54706126
WOout23F	q50	lam0	14.28604617
WOout23F	q75	lam0	23.52995674
WOout23F	q97.5	lam0	37.96686354
WOout23F	gd.point	lam0	1.996308283
WOout23F	gd.upperCI	lam0	3.573654015
BBout11F	mean	lam0	14.53193678
BBout11F	sd	lam0	9.731113925
BBout11F	naïve.se	lam0	0.017766502
BBout11F	ts.se	lam0	1.388657697
BBout11F	q2.5	lam0	0.612990229
BBout11F	q25	lam0	5.753545589
BBout11F	q50	lam0	15.12644539
BBout11F	q75	lam0	19.96852094
BBout11F	q97.5	lam0	34.94381975
BBout11F	gd.point	lam0	4.459059868
BBout11F	gd.upperCI	lam0	9.579252024
BBout13F	mean	lam0	48.12475901
BBout13F	sd	lam0	36.82120484
BBout13F	naïve.se	lam0	0.067226015
BBout13F	ts.se	lam0	4.052996288
BBout13F	q2.5	lam0	0.194019522
BBout13F	q25	lam0	9.14790101
BBout13F	q50	lam0	43.36485444
BBout13F	q75	lam0	79.45051124
BBout13F	q97.5	lam0	112.1811745
BBout13F	gd.point	lam0	10.62671997
BBout13F	gd.upperCI	lam0	24.79627769
BBout13F	mean	lam0	48.12475901
BBout13F	sd	lam0	36.82120484
BBout13F	naïve.se	lam0	0.067226015
BBout13F	ts.se	lam0	4.052996288
BBout13F	q2.5	lam0	0.194019522
BBout13F	q25	lam0	9.14790101
BBout13F	q50	lam0	43.36485444
BBout13F	q75	lam0	79.45051124
BBout13F	q97.5	lam0	112.1811745
BBout13F	gd.point	lam0	10.62671997
BBout13F	gd.upperCI	lam0	24.79627769
BBout21F	mean	lam0	6.467928851
BBout21F	sd	lam0	7.500718391
BBout21F	naïve.se	lam0	0.013694376
BBout21F	ts.se	lam0	0.688395141
BBout21F	q2.5	lam0	0.018771339
BBout21F	q25	lam0	0.32060232
BBout21F	q50	lam0	2.22022739
BBout21F	q75	lam0	13.25709973
BBout21F	q97.5	lam0	21.73121406
BBout21F	gd.point	lam0	3.703981934
BBout21F	gd.upperCI	lam0	7.823532999
BBout22F	mean	lam0	8.304263616
BBout22F	sd	lam0	3.882640689
BBout22F	naïve.se	lam0	0.0070887
BBout22F	ts.se	lam0	0.698416567
BBout22F	q2.5	lam0	2.502932613
BBout22F	q25	lam0	5.034481791
BBout22F	q50	lam0	7.492705476
BBout22F	q75	lam0	12.49812547
BBout22F	q97.5	lam0	14.82029777
BBout22F	gd.point	lam0	10.65381438
BBout22F	gd.upperCI	lam0	20.87615985
BBout23F	mean	lam0	5.842228618
BBout23F	sd	lam0	5.597302506
BBout23F	naïve.se	lam0	0.010219229
BBout23F	ts.se	lam0	1.074310469
BBout23F	q2.5	lam0	0.044683823
BBout23F	q25	lam0	0.952176016
BBout23F	q50	lam0	4.077164462
BBout23F	q75	lam0	10.04877305
