Model,species,estimate,parameter,value
WOout11F,wolf,gd.point,Nhat,1.573793564
WOout11F,wolf,gd.upperCI,Nhat,2.517702922
WOout21F,wolf,mean,Nhat,467.31709
WOout21F,wolf,sd,Nhat,287.0050354
WOout21F,wolf,naïve.se,Nhat,0.523997107
WOout21F,wolf,ts.se,Nhat,24.37928426
WOout21F,wolf,q2.5,Nhat,37
WOout21F,wolf,q25,Nhat,211
WOout21F,wolf,q50,Nhat,453
WOout21F,wolf,q75,Nhat,709
WOout21F,wolf,q97.5,Nhat,973
WOout21F,wolf,gd.point,Nhat,1.140457575
WOout21F,wolf,gd.upperCI,Nhat,1.420230386
WOout23F,wolf,mean,Nhat,442.2402633
WOout23F,wolf,sd,Nhat,292.5865127
WOout23F,wolf,naïve.se,Nhat,0.534187444
WOout23F,wolf,ts.se,Nhat,27.56028774
WOout23F,wolf,q2.5,Nhat,20
WOout23F,wolf,q25,Nhat,178
WOout23F,wolf,q50,Nhat,427
WOout23F,wolf,q75,Nhat,684
WOout23F,wolf,q97.5,Nhat,970
WOout23F,wolf,gd.point,Nhat,1.078107703
WOout23F,wolf,gd.upperCI,Nhat,1.246636831
BBout11F,black bear,mean,Nhat,335.8042733
BBout11F,black bear,sd,Nhat,274.6828277
BBout11F,black bear,naïve.se,Nhat,0.501499936
BBout11F,black bear,ts.se,Nhat,36.56924143
BBout11F,black bear,q2.5,Nhat,30
BBout11F,black bear,q25,Nhat,95
BBout11F,black bear,q50,Nhat,242
BBout11F,black bear,q75,Nhat,541
BBout11F,black bear,q97.5,Nhat,930
BBout11F,black bear,gd.point,Nhat,1.067838113
BBout11F,black bear,gd.upperCI,Nhat,1.21869328
BBout13F,black bear,mean,Nhat,184.15157
BBout13F,black bear,sd,Nhat,271.5658643
BBout13F,black bear,naïve.se,Nhat,0.495809166
BBout13F,black bear,ts.se,Nhat,27.91452081
BBout13F,black bear,q2.5,Nhat,1
BBout13F,black bear,q25,Nhat,1
BBout13F,black bear,q50,Nhat,28
BBout13F,black bear,q75,Nhat,276
BBout13F,black bear,q97.5,Nhat,916
BBout13F,black bear,gd.point,Nhat,1.706735371
BBout13F,black bear,gd.upperCI,Nhat,3.382311913
BBout21F,black bear,mean,Nhat,165.1957467
BBout21F,black bear,sd,Nhat,227.952837
BBout21F,black bear,naïve.se,Nhat,0.416183036
BBout21F,black bear,ts.se,Nhat,30.26838811
BBout21F,black bear,q2.5,Nhat,2
BBout21F,black bear,q25,Nhat,12
BBout21F,black bear,q50,Nhat,60
BBout21F,black bear,q75,Nhat,228
BBout21F,black bear,q97.5,Nhat,845
BBout21F,black bear,gd.point,Nhat,1.192010081
BBout21F,black bear,gd.upperCI,Nhat,1.548197005
BBout22F,black bear,mean,Nhat,534.95225
BBout22F,black bear,sd,Nhat,186.148706
BBout22F,black bear,naïve.se,Nhat,0.339859484
BBout22F,black bear,ts.se,Nhat,24.63182271
BBout22F,black bear,q2.5,Nhat,295
BBout22F,black bear,q25,Nhat,391
BBout22F,black bear,q50,Nhat,483
BBout22F,black bear,q75,Nhat,640
BBout22F,black bear,q97.5,Nhat,972
BBout22F,black bear,gd.point,Nhat,1.841438505
BBout22F,black bear,gd.upperCI,Nhat,4.076127421
BBout23F,black bear,mean,Nhat,336.4369567
BBout23F,black bear,sd,Nhat,292.1131179
BBout23F,black bear,naïve.se,Nhat,0.533323147
BBout23F,black bear,ts.se,Nhat,23.2349797
BBout23F,black bear,q2.5,Nhat,3
BBout23F,black bear,q25,Nhat,75
BBout23F,black bear,q50,Nhat,257
BBout23F,black bear,q75,Nhat,553
BBout23F,black bear,q97.5,Nhat,951
BBout23F,black bear,gd.point,Nhat,1.276122401
BBout23F,black bear,gd.upperCI,Nhat,1.767281748
