Model,species,estimate,parameter,value
BBout23F,black bear,gd.point,sigma,4.086219926
BBout23F,black bear,gd.upperCI,sigma,9.024094042
CAout11F,caribou,mean,lam0,4.781852915
CAout11F,caribou,sd,lam0,3.380507731
CAout11F,caribou,naïve.se,lam0,0.006171934
CAout11F,caribou,ts.se,lam0,0.745043835
CAout11F,caribou,q2.5,lam0,0.212590293
CAout11F,caribou,q25,lam0,1.839707888
CAout11F,caribou,q50,lam0,4.468452527
CAout11F,caribou,q75,lam0,7.141451169
CAout11F,caribou,q97.5,lam0,12.06394698
CAout11F,caribou,gd.point,lam0,2.229418909
CAout11F,caribou,gd.upperCI,lam0,4.071313252
CAout13F,caribou,mean,lam0,36.90319666
CAout13F,caribou,sd,lam0,16.43617528
CAout13F,caribou,naïve.se,lam0,0.030008213
CAout13F,caribou,ts.se,lam0,3.606180427
CAout13F,caribou,q2.5,lam0,9.303141995
CAout13F,caribou,q25,lam0,22.62918772
CAout13F,caribou,q50,lam0,36.63765276
CAout13F,caribou,q75,lam0,51.27963968
CAout13F,caribou,q97.5,lam0,66.09609839
CAout13F,caribou,gd.point,lam0,2.855836085
CAout13F,caribou,gd.upperCI,lam0,5.999342034
CAout21F,caribou,mean,lam0,39.48176226
CAout21F,caribou,sd,lam0,26.09780182
CAout21F,caribou,naïve.se,lam0,0.047647849
CAout21F,caribou,ts.se,lam0,1.067908763
CAout21F,caribou,q2.5,lam0,0.800922084
CAout21F,caribou,q25,lam0,4.029863984
CAout21F,caribou,q50,lam0,55.05942738
CAout21F,caribou,q75,lam0,59.90325705
CAout21F,caribou,q97.5,lam0,64.95325538
CAout21F,caribou,gd.point,lam0,24.99336975
CAout21F,caribou,gd.upperCI,lam0,54.81714096
LYout11F,lynx,mean,lam0,28.67475849
LYout11F,lynx,sd,lam0,7.919824777
LYout11F,lynx,naïve.se,lam0,0.014459556
LYout11F,lynx,ts.se,lam0,1.408451336
LYout11F,lynx,q2.5,lam0,12.41388623
LYout11F,lynx,q25,lam0,22.95453841
LYout11F,lynx,q50,lam0,28.24180858
LYout11F,lynx,q75,lam0,34.70330312
LYout11F,lynx,q97.5,lam0,43.63466181
LYout11F,lynx,gd.point,lam0,3.946428386
LYout11F,lynx,gd.upperCI,lam0,7.499671579
LYout13F,lynx,mean,lam0,25.11108202
LYout13F,lynx,sd,lam0,18.1825002
LYout13F,lynx,naïve.se,lam0,0.033196552
LYout13F,lynx,ts.se,lam0,2.837622279
LYout13F,lynx,q2.5,lam0,0.216832205
LYout13F,lynx,q25,lam0,4.077624702
LYout13F,lynx,q50,lam0,28.04904129
LYout13F,lynx,q75,lam0,40.67233363
LYout13F,lynx,q97.5,lam0,56.50866771
LYout13F,lynx,gd.point,lam0,3.707983654
LYout13F,lynx,gd.upperCI,lam0,8.550303152
LYout21F,lynx,mean,lam0,26.01812139
LYout21F,lynx,sd,lam0,13.63357473
LYout21F,lynx,naïve.se,lam0,0.024891388
LYout21F,lynx,ts.se,lam0,2.962956648
LYout21F,lynx,q2.5,lam0,4.620606811
LYout21F,lynx,q25,lam0,15.95160885
LYout21F,lynx,q50,lam0,22.64762268
LYout21F,lynx,q75,lam0,36.3467774
LYout21F,lynx,q97.5,lam0,52.63442919
LYout21F,lynx,gd.point,lam0,3.226615088
LYout21F,lynx,gd.upperCI,lam0,7.512404059
MOout23F,moose,mean,lam0,32.52630306
MOout23F,moose,sd,lam0,27.28156788
MOout23F,moose,naïve.se,lam0,0.0498091
MOout23F,moose,ts.se,lam0,3.761111784
MOout23F,moose,q2.5,lam0,1.009322282
MOout23F,moose,q25,lam0,9.308811292
MOout23F,moose,q50,lam0,22.77317249
MOout23F,moose,q75,lam0,57.05847572
MOout23F,moose,q97.5,lam0,87.18146211
MOout23F,moose,gd.point,lam0,6.964554844
MOout23F,moose,gd.upperCI,lam0,15.82817009
WOout11F,wolf,mean,lam0,25.87894471
WOout11F,wolf,sd,lam0,9.693441985
WOout11F,wolf,naïve.se,lam0,0.017697723
WOout11F,wolf,ts.se,lam0,2.13427407
WOout11F,wolf,q2.5,lam0,9.390036077
WOout11F,wolf,q25,lam0,18.99215642
WOout11F,wolf,q50,lam0,25.7798636
WOout11F,wolf,q75,lam0,32.03579459
WOout11F,wolf,q97.5,lam0,44.03594577
WOout11F,wolf,gd.point,lam0,5.880404318
WOout11F,wolf,gd.upperCI,lam0,11.62178148
WOout21F,wolf,mean,lam0,13.20927478
WOout21F,wolf,sd,lam0,14.27727102
WOout21F,wolf,naïve.se,lam0,0.026066611
WOout21F,wolf,ts.se,lam0,3.163805926
WOout21F,wolf,q2.5,lam0,0.304707633
WOout21F,wolf,q25,lam0,1.905648194
WOout21F,wolf,q50,lam0,5.671002993
WOout21F,wolf,q75,lam0,20.70523895
WOout21F,wolf,q97.5,lam0,41.54104566
WOout21F,wolf,gd.point,lam0,2.824627976
WOout21F,wolf,gd.upperCI,lam0,7.033911914
WOout23F,wolf,mean,lam0,15.69384452
WOout23F,wolf,sd,lam0,11.19887823
WOout23F,wolf,naïve.se,lam0,0.020446261
WOout23F,wolf,ts.se,lam0,1.680487687
WOout23F,wolf,q2.5,lam0,0.185357165
WOout23F,wolf,q25,lam0,6.54706126
WOout23F,wolf,q50,lam0,14.28604617
WOout23F,wolf,q75,lam0,23.52995674
WOout23F,wolf,q97.5,lam0,37.96686354
WOout23F,wolf,gd.point,lam0,1.996308283
WOout23F,wolf,gd.upperCI,lam0,3.573654015
BBout11F,black bear,mean,lam0,14.53193678
BBout11F,black bear,sd,lam0,9.731113925
BBout11F,black bear,naïve.se,lam0,0.017766502
BBout11F,black bear,ts.se,lam0,1.388657697
BBout11F,black bear,q2.5,lam0,0.612990229
BBout11F,black bear,q25,lam0,5.753545589
BBout11F,black bear,q50,lam0,15.12644539
BBout11F,black bear,q75,lam0,19.96852094
BBout11F,black bear,q97.5,lam0,34.94381975
BBout11F,black bear,gd.point,lam0,4.459059868
BBout11F,black bear,gd.upperCI,lam0,9.579252024
BBout13F,black bear,mean,lam0,48.12475901
